FIPS,COUNTY_NAME,STATE_NAME,STATE_ABBR,AIRQUALTY_MEAN
46095,"Mellette County","South Dakota",SD,5.1571521759
31031,"Cherry County",Nebraska,NE,5.14585442066
08065,"Lake County",Colorado,CO,5.13497779586
25007,"Dukes County",Massachusetts,MA,5.1327419281
30085,"Roosevelt County",Montana,MT,5.10535235685
33001,"Belknap County","New Hampshire",NH,5.10239839554
30091,"Sheridan County",Montana,MT,5.10113639832
08045,"Garfield County",Colorado,CO,5.09647325107
35033,"Mora County","New Mexico",NM,5.07977283918
41007,"Clatsop County",Oregon,OR,5.07511493683
31017,"Brown County",Nebraska,NE,5.04990904506
04009,"Graham County",Arizona,AZ,5.04926695273
56001,"Albany County",Wyoming,WY,5.04806498514
46085,"Lyman County","South Dakota",SD,5.03776383785
53061,"Snohomish County",Washington,WA,5.03717566588
50019,"Orleans County",Vermont,VT,5.03703457659
53011,"Clark County",Washington,WA,5.03405996323
33009,"Grafton County","New Hampshire",NH,5.02563282847
50005,"Caledonia County",Vermont,VT,5.02495798198
31117,"McPherson County",Nebraska,NE,5.01933190936
23025,"Somerset County",Maine,ME,5.01882658542
36033,"Franklin County","New York",NY,5.01505102191
31157,"Scotts Bluff County",Nebraska,NE,5.00401456015
56029,"Park County",Wyoming,WY,4.99323673291
04015,"Mohave County",Arizona,AZ,4.9879305739
56039,"Teton County",Wyoming,WY,4.98133738953
35031,"McKinley County","New Mexico",NM,4.97480614778
37175,"Transylvania County","North Carolina",NC,4.96696420149
55031,"Douglas County",Wisconsin,WI,4.96212053299
31091,"Hooker County",Nebraska,NE,4.96003580093
49031,"Piute County",Utah,UT,4.89812980652
56009,"Converse County",Wyoming,WY,4.87984511368
41009,"Columbia County",Oregon,OR,4.86967335577
50015,"Lamoille County",Vermont,VT,4.85820636749
27017,"Carlton County",Minnesota,MN,4.84238939732
41005,"Clackamas County",Oregon,OR,4.84142267893
35017,"Grant County","New Mexico",NM,4.83617910658
08085,"Montrose County",Colorado,CO,4.82927942929
35027,"Lincoln County","New Mexico",NM,4.82697714215
53053,"Pierce County",Washington,WA,4.82141860744
53067,"Thurston County",Washington,WA,4.80944459255
53045,"Mason County",Washington,WA,4.80608907113
23027,"Waldo County",Maine,ME,4.79641594206
37095,"Hyde County","North Carolina",NC,4.7922175307
56035,"Sublette County",Wyoming,WY,4.76027219932
46075,"Jones County","South Dakota",SD,4.75766204085
50009,"Essex County",Vermont,VT,4.75471955254
27075,"Lake County",Minnesota,MN,4.74639028235
53057,"Skagit County",Washington,WA,4.71110081327
46117,"Stanley County","South Dakota",SD,4.71091672549
53069,"Wahkiakum County",Washington,WA,4.69979116652
53015,"Cowlitz County",Washington,WA,4.67511918094
53049,"Pacific County",Washington,WA,4.66526335683
35007,"Colfax County","New Mexico",NM,4.64417494758
08037,"Eagle County",Colorado,CO,4.58693833993
33003,"Carroll County","New Hampshire",NH,4.58437875112
56007,"Carbon County",Wyoming,WY,4.57441449075
46119,"Sully County","South Dakota",SD,4.56426781577
31009,"Blaine County",Nebraska,NE,4.55981924136
53033,"King County",Washington,WA,4.54485484316
26083,"Keweenaw County",Michigan,MI,4.51724299263
23021,"Piscataquis County",Maine,ME,4.50138586636
53027,"Grays Harbor County",Washington,WA,4.50077372628
31113,"Logan County",Nebraska,NE,4.45450487137
08057,"Jackson County",Colorado,CO,4.44129460685
53059,"Skamania County",Washington,WA,4.44037650399
53055,"San Juan County",Washington,WA,4.43979048729
35003,"Catron County","New Mexico",NM,4.41115768363
23003,"Aroostook County",Maine,ME,4.40561302736
46065,"Hughes County","South Dakota",SD,4.39198978742
56025,"Natrona County",Wyoming,WY,4.3869791708
53029,"Island County",Washington,WA,4.37888000011
35055,"Taos County","New Mexico",NM,4.34274038928
53031,"Jefferson County",Washington,WA,4.30226580776
27031,"Cook County",Minnesota,MN,4.30060680438
35039,"Rio Arriba County","New Mexico",NM,4.29294325331
31171,"Thomas County",Nebraska,NE,4.26917525132
08051,"Gunnison County",Colorado,CO,4.2680536285
49055,"Wayne County",Utah,UT,4.2533792066
08109,"Saguache County",Colorado,CO,4.20441402019
04005,"Coconino County",Arizona,AZ,4.16174944014
53041,"Lewis County",Washington,WA,4.15385437299
33007,"Coos County","New Hampshire",NH,4.1305161847
23019,"Penobscot County",Maine,ME,4.12878411431
41027,"Hood River County",Oregon,OR,4.08892852068
49025,"Kane County",Utah,UT,4.0765937667
04011,"Greenlee County",Arizona,AZ,4.07382835082
35045,"San Juan County","New Mexico",NM,4.05917063832
35028,"Los Alamos County","New Mexico",NM,4.04937207699
49017,"Garfield County",Utah,UT,4.03700331118
49037,"San Juan County",Utah,UT,3.99527496819
53073,"Whatcom County",Washington,WA,3.99505482849
08091,"Ouray County",Colorado,CO,3.97115461967
08113,"San Miguel County",Colorado,CO,3.95460929522
53009,"Clallam County",Washington,WA,3.9014064944
08023,"Costilla County",Colorado,CO,3.89846970818
23009,"Hancock County",Maine,ME,3.88274258038
08021,"Conejos County",Colorado,CO,3.84976698371
08067,"La Plata County",Colorado,CO,3.83534531593
08107,"Routt County",Colorado,CO,3.8250765599
04017,"Navajo County",Arizona,AZ,3.7995572807
08105,"Rio Grande County",Colorado,CO,3.70742558611
08033,"Dolores County",Colorado,CO,3.62886536444
08053,"Hinsdale County",Colorado,CO,3.61000893962
08003,"Alamosa County",Colorado,CO,3.59930830342
23029,"Washington County",Maine,ME,3.58676493452
08079,"Mineral County",Colorado,CO,3.58322210147
08007,"Archuleta County",Colorado,CO,3.56092225539
08097,"Pitkin County",Colorado,CO,3.5234624109
08083,"Montezuma County",Colorado,CO,3.36221004369
04001,"Apache County",Arizona,AZ,3.34209945714
08111,"San Juan County",Colorado,CO,3.0274480673
08014,"Broomfield County",Colorado,CO,0
51510,"Alexandria city",Virginia,VA,0
51530,"Buena Vista city",Virginia,VA,0
51540,"Charlottesville city",Virginia,VA,0
51580,"Covington city",Virginia,VA,0
51595,"Emporia city",Virginia,VA,0
51610,"Falls Church city",Virginia,VA,0
51620,"Franklin city",Virginia,VA,0
51630,"Fredericksburg city",Virginia,VA,0
51640,"Galax city",Virginia,VA,0
51660,"Harrisonburg city",Virginia,VA,0
51670,"Hopewell city",Virginia,VA,0
51678,"Lexington city",Virginia,VA,0
51683,"Manassas city",Virginia,VA,0
51685,"Manassas Park city",Virginia,VA,0
51720,"Norton city",Virginia,VA,0
51750,"Radford city",Virginia,VA,0
51775,"Salem city",Virginia,VA,0
51790,"Staunton city",Virginia,VA,0
51820,"Waynesboro city",Virginia,VA,0
51830,"Williamsburg city",Virginia,VA,0
51840,"Winchester city",Virginia,VA,0
